territoire,ligne,nom_ligne,arret_id,code,arret,latitude,longitude
TàD Roissy Sarcelles,TàD,TàD Roissy Sarcelles,IDFM:37991,,8 mai 1945,48.97613898109351,2.4091091015191943
TàD Roissy Sarcelles,TàD,TàD Roissy Sarcelles,IDFM:423561,,8 mai 1945,48.975897946912276,2.409467014941097
TàD Aigremont - Chambourcy,TàD,TàD Aigremont - Chambourcy,IDFM:13674,,Abreuvoir,48.90333953223706,2.0204490967328397
TàD Vexin Est,TàD,TàD Vexin Est,IDFM:29526,,Abri des Vignes,49.19020221647166,2.0714547629042253
TàD Vexin Est,TàD,TàD Vexin Est,IDFM:413564,,Abribus,49.10600751137223,1.847053888039254
TàD Vexin Est,TàD,TàD Vexin Est,IDFM:32597,,Abribus,49.105900417290506,1.8471384449486548
TàD 4342,TàD 4342,TàD 4342,IDFM:485691,,Abribus,48.402813896122424,2.261345135055555
TàD 4342,TàD 4342,TàD 4342,IDFM:485693,,Abribus,48.40317357568285,2.261313058055181
TàD Roissy Goussainville,TàD,TàD Roissy Goussainville,IDFM:495790,,Acacias,49.03922780038138,2.466641963673299
TàD Sud Meulan - Les Mureaux,TàD,TàD Sud Meulan - Les Mureaux,IDFM:13523,,Agrippa d'Aubigné,48.95581532556146,1.9679058868082444
TàD Sud Meulan - Les Mureaux,TàD,TàD Sud Meulan - Les Mureaux,IDFM:13524,,Agrippa d'Aubigné,48.956132177069726,1.968148821553479
TàD Roissy Sarcelles,TàD,TàD Roissy Sarcelles,IDFM:419509,,Airapolis,49.00680100725861,2.5195031066856775
TàD Roissy Goussainville,TàD,TàD Roissy Goussainville,IDFM:419509,,Airapolis,49.00680100725861,2.5195031066856775
TàD Roissy Villiers-le-Bel,TàD,TàD Roissy Villiers-le-Bel,IDFM:419509,,Airapolis,49.00680100725861,2.5195031066856775
TàD Roissy Sarcelles,TàD,TàD Roissy Sarcelles,IDFM:38061,,Airapolis,49.006926673485054,2.519447270115817
TàD Roissy Goussainville,TàD,TàD Roissy Goussainville,IDFM:38061,,Airapolis,49.006926673485054,2.519447270115817
